fromTid,toTid
tt0012349,tt0040458
tt0012349,tt0053779
tt0012349,tt0107614
tt0012349,tt0023948
tt0012349,tt0083745
tt0012349,tt0081554
tt0012349,tt0050598
tt0012349,tt0097123
tt0012349,tt0015116
tt0012349,tt0032143
tt0012349,tt0018742
tt0012349,tt0010040
tt0015864,tt0021749
tt0015864,tt0035262
tt0015864,tt0013556
tt0015864,tt0025316
tt0015864,tt0027977
tt0015864,tt0099088
tt0015864,tt0268380
tt0015864,tt0093779
tt0015864,tt0012349
tt0015864,tt0018773
tt0015864,tt0064418
tt0015864,tt0266543
tt0017136,tt0071411
tt0017136,tt0092005
tt0017136,tt0069293
tt0017136,tt0079944
tt0017136,tt0062622
tt0017136,tt0089092
tt0017136,tt0046672
tt0017136,tt0212720
tt0017136,tt0067756
tt0017136,tt0454876
tt0017136,tt0162222
tt0017136,tt0075860
tt0017925,tt0028010
tt0017925,tt0035169
tt0017925,tt0025316
tt0017925,tt0037077
tt0017925,tt0010879
tt0017925,tt0028597
tt0017925,tt0018578
tt0017925,tt0027996
tt0017925,tt0019421
tt0017925,tt0025919
tt0017925,tt0019379
tt0017925,tt0018471
tt0021749,tt0019258
tt0021749,tt0095765
tt0021749,tt0021633
tt0021749,tt0061722
tt0021749,tt0027977
tt0021749,tt0032599
tt0021749,tt0029322
tt0021749,tt0047437
tt0021749,tt0053604
tt0021749,tt0054698
tt0021749,tt0091167
tt0021749,tt0079522
tt0022100,tt0247586
tt0022100,tt0110912
tt0022100,tt0091474
tt0022100,tt0065112
tt0022100,tt0289765
tt0022100,tt0120735
tt0022100,tt0029811
tt0022100,tt0102926
tt0022100,tt0208092
tt0022100,tt0130827
tt0022100,tt0425210
tt0022100,tt0019702
tt0025316,tt0027996
tt0025316,tt0028010
tt0025316,tt0035169
tt0025316,tt0032904
tt0025316,tt0028597
tt0025316,tt0018311
tt0025316,tt0029947
tt0025316,tt0025919
tt0025316,tt0028842
tt0025316,tt0019379
tt0025316,tt0030993
tt0025316,tt0022489
tt0027977,tt0021749
tt0027977,tt0095765
tt0027977,tt0061722
tt0027977,tt0033045
tt0027977,tt0046250
tt0027977,tt0047437
tt0027977,tt1022603
tt0027977,tt0053604
tt0027977,tt0054698
tt0027977,tt0119822
tt0027977,tt0301357
tt0027977,tt0362227
tt0031381,tt0118799
tt0031381,tt0046816
tt0031381,tt0012190
tt0031381,tt0059113
tt0031381,tt0035093
tt0031381,tt0033238
tt0031381,tt0036868
tt0031381,tt0052893
tt0031381,tt0034583
tt0031381,tt0049934
tt0031381,tt0159365
tt0031381,tt0045793
tt0031679,tt0022054
tt0031679,tt0022834
tt0031679,tt0012532
tt0031679,tt0032551
tt0031679,tt0019344
tt0031679,tt0024115
tt0031679,tt0020298
tt0031679,tt0039192
tt0031679,tt0012938
tt0031679,tt0051459
tt0031679,tt0029606
tt0031679,tt0042192
tt0032138,tt0416236
tt0032138,tt0119282
tt0032138,tt0091369
tt0032138,tt0076538
tt0032138,tt0102057
tt0032138,tt0067992
tt0032138,tt0103639
tt0032138,tt0083791
tt0032138,tt0066817
tt0032138,tt1014759
tt0032138,tt0043274
tt0032138,tt0116683
tt0032551,tt0061184
tt0032551,tt0012532
tt0032551,tt0029606
tt0032551,tt0037884
tt0032551,tt0031679
tt0032551,tt0044081
tt0032551,tt0020298
tt0032551,tt0067328
tt0032551,tt0012938
tt0032551,tt0051459
tt0032551,tt0047528
tt0032551,tt0042192
tt0032553,tt0057012
tt0032553,tt0066026
