#id,title,imdbRating,year
tt0012349,Der Vagabund und das Kind (1921),8.4,1921
tt0015864,Goldrausch (1925),8.3,1925
tt0017136,Metropolis (1927),8.4,1927
tt0017925,Der General (1926),8.3,1926
tt0021749,Lichter der Großstadt (1931),8.7,1931
tt0022100,M (1931),8.5,1931
tt0025316,Es geschah in einer Nacht (1934),8.3,1934
tt0027977,Moderne Zeiten (1936),8.6,1936
tt0031381,Vom Winde verweht (1939),8.2,1939
tt0031679,Mr. Smith geht nach Washington (1939),8.4,1939
tt0032138,Der Zauberer von Oz (1939),8.1,1939
tt0032551,Früchte des Zorns (1940),8.2,1940
tt0032553,Der große Diktator (1940),8.5,1940
tt0032976,Rebecca (1940),8.3,1940
tt0033467,Citizen Kane (1941),8.5,1941
tt0033870,Die Spur des Falken (1941),8.2,1941
tt0034583,Casablanca (1942),8.6,1942
tt0036775,Frau ohne Gewissen (1944),8.5,1944
tt0036868,Die besten Jahre unseres Lebens (1946),8.3,1946
tt0038355,Tote schlafen fest (1946),8.1,1946
tt0038650,It's a Wonderful Life (1946),8.7,1946
tt0038787,Berüchtigt (1946),8.2,1946
tt0040522,Fahrraddiebe (1948),8.4,1948
tt0040746,Cocktail für eine Leiche (1948),8.1,1948
tt0040897,Der Schatz der Sierra Madre (1948),8.4,1948
tt0041959,Der dritte Mann (1949),8.4,1949
tt0042192,Alles über Eva (1950),8.4,1950
tt0042876,Rashomon (1950),8.4,1950
tt0043014,Boulevard der Dämmerung (1950),8.6,1950
tt0044079,Der Fremde im Zug (1951),8.1,1951
tt0044706,Zwölf Uhr mittags (1952),8.2,1952
tt0044741,Ikiru - Einmal richtig leben (1952),8.4,1952
tt0045152,Du sollst mein Glücksstern sein (1952),8.4,1952
tt0046250,Ein Herz und eine Krone (1953),8.1,1953
tt0046359,Stalag 17 (1953),8.1,1953
tt0046911,Die Teuflischen (1955),8.3,1955
tt0046912,Bei Anruf Mord (1954),8.2,1954
tt0047296,Die Faust im Nacken (1954),8.3,1954
tt0047396,Das Fenster zum Hof (1954),8.6,1954
tt0047478,Die sieben Samurai (1954),8.8,1954
tt0047528,Das Lied der Straße (1954),8.2,1954
tt0048424,Die Nacht des Jägers (1955),8.1,1955
tt0049406,Killing (1956),8.1,1956
tt0050083,Die zwölf Geschworenen (1957),8.9,1957
tt0050212,Die Brücke am Kwai (1957),8.3,1957
tt0050825,Wege zum Ruhm (1957),8.5,1957
tt0050976,Das siebente Siegel (1957),8.3,1957
tt0050986,Wilde Erdbeeren (1957),8.3,1957
tt0051201,Zeugin der Anklage (1957),8.5,1957
tt0052311,Im Zeichen des Bösen (1958),8.2,1958
tt0052357,Vertigo - Aus dem Reich der Toten (1958),8.5,1958
tt0052618,Ben Hur (1959),8.2,1959
tt0053125,Der unsichtbare Dritte (1959),8.5,1959
tt0053198,Sie küßten und sie schlugen ihn (1959),8.2,1959
tt0053291,Manche mögen's heiß (1959),8.4,1959
tt0053604,Das Appartement (1960),8.4,1960
tt0053779,Das süße Leben (1960),8.1,1960
tt0054215,Psycho (1960),8.6,1960
tt0054997,Haie der Großstadt (1961),8.1,1961
tt0055031,Das Urteil von Nürnberg (1961),8.3,1961
tt0055630,Die Leibwache (1961),8.4,1961
tt0056172,Lawrence von Arabien (1962),8.4,1962
tt0056592,Wer die Nachtigall stört (1962),8.4,1962
tt0056801,Achteinhalb (1963),8.2,1963
tt0057012,Dr. Seltsam\, oder wie ich lernte\, die Bombe zu lieben (1964),8.6,1964
tt0057115,Gesprengte Ketten (1963),8.3,1963
tt0058461,Für eine Handvoll Dollar (1964),8.1,1964
tt0058946,Schlacht um Algier (1966),8.2,1966
tt0059578,Für ein paar Dollar mehr (1965),8.4,1965
tt0060196,Zwei glorreiche Halunken (1966),9.0,1966
tt0060827,Persona (1966),8.2,1966
tt0061184,Wer hat Angst vor Virginia Woolf? (1966),8.2,1966
tt0061512,Der Unbeugsame (1967),8.2,1967
tt0061722,Die Reifeprüfung (1967),8.1,1967
tt0062622,2001: Odyssee im Weltraum (1968),8.3,1968
tt0064115,Butch Cassidy und Sundance Kid (1969),8.2,1969
tt0064116,Spiel mir das Lied vom Tod (1968),8.7,1968
tt0066921,Uhrwerk Orange (1971),8.4,1971
tt0068646,Der Pate (1972),9.2,1972
tt0070735,Der Clou (1973),8.4,1973
tt0071315,Chinatown (1974),8.3,1974
tt0071562,Der Pate 2 (1974),9.1,1974
tt0071853,Die Ritter der Kokosnuß (1975),8.4,1975
tt0072684,Barry Lyndon (1975),8.1,1975
tt0072890,Hundstage (1975),8.1,1975
tt0073195,Der weiße Hai (1975),8.1,1975
tt0073486,Einer flog über das Kuckucksnest (1975),8.8,1975
tt0074958,Network (1976),8.2,1976
tt0075148,Rocky (1976),8.1,1976
tt0075314,Taxi Driver (1976),8.4,1976
tt0075686,Der Stadtneurotiker (1977),8.2,1977
tt0076759,Krieg der Sterne (1977),8.7,1977
tt0077416,Die durch die Hölle gehen (1978),8.2,1978
tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),8.5,1979
tt0078788,Apocalypse Now (1979),8.5,1979
tt0079470,Das Leben des Brian (1979),8.2,1979
tt0079944,Stalker (1979),8.2,1979
tt0080678,Der Elefantenmensch (1980),8.3,1980
tt0080684,Das Imperium schlägt zurück (1980),8.8,1980
tt0081398,Wie ein wilder Stier (1980),8.3,1980
tt0081505,Shining (1980),8.5,1980
tt0082096,Das Boot (1981),8.5,1981
tt0082971,Jäger des verlorenen Schatzes (1981),8.6,1981
tt0083658,Der Blade Runner (1982),8.3,1982
tt0083922,Fanny und Alexander (1982),8.2,1982
tt0083987,Gandhi (1982),8.1,1982
tt0084787,Das Ding aus einer anderen Welt (1982),8.2,1982
tt0085334,Fröhliche Weihnachten (1983),8.1,1983
tt0086190,Die Rückkehr der Jedi-Ritter (1983),8.4,1983
tt0086250,Scarface - Toni\, das Narbengesicht (1983),8.3,1983
tt0086879,Amadeus (1984),8.4,1984
tt0087544,Nausicaä - Prinzessin aus dem Tal der Winde (1984),8.2,1984
tt0087843,Es war einmal in Amerika (1984),8.4,1984
tt0088247,Terminator (1984),8.1,1984
tt0088763,Zurück in die Zukunft (1985),8.5,1985
tt0089881,Ran (1985),8.3,1985
tt0090605,Aliens - Die Rückkehr (1986),8.5,1986
tt0091763,Platoon (1986),8.2,1986
tt0092005,Stand by Me - Das Geheimnis eines Sommers (1986),8.2,1986
tt0092067,Das Schloss im Himmel (1986),8.1,1986
tt0093058,Full Metal Jacket (1987),8.4,1987
tt0093779,Die Braut des Prinzen (1987),8.2,1987
tt0095016,Stirb langsam (1988),8.3,1988
tt0095327,Die letzten Leuchtkäfer (1988),8.5,1988
tt0095765,Cinema Paradiso (1988),8.5,1988
tt0096283,Mein Nachbar Totoro (1988),8.3,1988
tt0097576,Indiana Jones und der letzte Kreuzzug (1989),8.3,1989
tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia (1990),8.8,1990
tt0101414,Die Schöne und das Biest (1991),8.1,1991
tt0102926,Das Schweigen der Lämmer (1991),8.6,1991
tt0103064,Terminator 2 - Tag der Abrechnung (1991),8.5,1991
tt0105236,Reservoir Dogs - Wilde Hunde (1992),8.4,1992
tt0105695,Erbarmungslos (1992),8.3,1992
tt0107048,...und täglich grüßt das Murmeltier (1993),8.1,1993
tt0107207,Im Namen des Vaters (1993),8.2,1993
tt0108052,Schindlers Liste (1993),8.9,1993
tt0109830,Forrest Gump (1994),8.8,1994
tt0110357,Der König der Löwen (1994),8.5,1994
tt0110413,Léon - Der Profi (1994),8.6,1994
tt0110912,Pulp Fiction (1994),9.0,1994
tt0111161,Die Verurteilten (1994),9.3,1994
tt0111495,Drei Farben - Rot (1994),8.1,1994
tt0112471,Before Sunrise - Zwischenstopp in Wien (1995),8.1,1995
tt0112573,Braveheart (1995),8.4,1995
tt0112641,Casino (1995),8.2,1995
tt0113247,Hass (1995),8.1,1995
tt0113277,Heat (1995),8.3,1995
tt0114369,Sieben (1995),8.7,1995
tt0114709,Toy Story (1995),8.3,1995
tt0114746,12 Monkeys (1995),8.1,1995
tt0114787,Underground (1995),8.2,1995
tt0114814,Die üblichen Verdächtigen (1995),8.7,1995
tt0116282,Fargo - Blutiger Schnee (1996),8.2,1996
tt0117951,Trainspotting - Neue Helden (1996),8.2,1996
tt0118694,In the Mood for Love - Der Klang der Liebe (2000),8.1,2000
tt0118715,The Big Lebowski (1998),8.2,1998
tt0118799,Das Leben ist schön (1997),8.6,1997
tt0119217,Good Will Hunting - Der gute Will Hunting (1997),8.2,1997
tt0119488,L.A. Confidential (1997),8.3,1997
tt0119698,Prinzessin Mononoke (1997),8.5,1997
tt0120382,Die Truman Show (1998),8.0,1998
tt0120586,American History X (1998),8.6,1998
tt0120689,The Green Mile (1999),8.5,1999
tt0120735,Bube Dame König grAS (1998),8.2,1998
tt0120737,Der Herr der Ringe - Die Gefährten (2001),8.9,2001
tt0120815,Der Soldat James Ryan (1998),8.6,1998
tt0133093,Matrix (1999),8.7,1999
tt0137523,Fight Club (1999),8.9,1999
tt0154420,Das Fest (1998),8.2,1998
tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),8.9,2003
tt0167261,Der Herr der Ringe - Die zwei Türme (2002),8.8,2002
tt0167404,Sixth Sense (1999),8.2,1999
tt0169102,Lagaan: Once Upon a Time in India (2001),8.3,2001
tt0169547,American Beauty (1999),8.5,1999
tt0172495,Gladiator (2000),8.5,2000
tt0180093,Requiem for a Dream (2000),8.4,2000
